fips,latitude,longitude
39173,41.360183,-83.622682
39175,40.840122,-83.313172
42001,39.869471,-77.217730
42003,40.468920,-79.980920
42005,40.812379,-79.464128
42007,40.684140,-80.350721
42009,39.997115,-78.489980
42011,40.413957,-75.926860
42013,40.497926,-78.310640
42015,41.791495,-76.502124
42017,40.336887,-75.107060
42019,40.913834,-79.918960
42021,40.494127,-78.715284
42023,41.438289,-78.198314
42025,40.917832,-75.709428
42027,40.909160,-77.847830
42029,39.973965,-75.749732
42031,41.198238,-79.420404
42033,41.000249,-78.473749
42035,41.245301,-77.649141
42037,41.045517,-76.404260
42039,41.686840,-80.107811
42041,40.164782,-77.263440
42043,40.412565,-76.792634
42045,39.916670,-75.398786
42047,41.427334,-78.653938
42049,42.117952,-80.096386
42051,39.914115,-79.644586
42053,41.513304,-79.249705
42055,39.926686,-77.724485
42057,39.910750,-78.122617
42059,39.848983,-80.225694
42061,40.422321,-77.968584
42063,40.651432,-79.087545
42065,41.130287,-78.999044
42067,40.530673,-77.400438
42069,41.440250,-75.609587
42071,40.041992,-76.250198
42073,40.992735,-80.334446
42075,40.367344,-76.458009
42077,40.614241,-75.590627
42079,41.172787,-75.976035
42081,41.343624,-77.055253
42083,41.814590,-78.572463
42085,41.300014,-80.252786
42087,40.611890,-77.620661
42089,41.056233,-75.329037
42091,40.209999,-75.370201
42093,41.029261,-76.665259
42095,40.752791,-75.307447
42097,40.851524,-76.709877
42099,40.397780,-77.266328
42101,40.009376,-75.133346
42103,41.325949,-75.031514
42105,41.748222,-77.894735
42107,40.703690,-76.217800
42109,40.755348,-77.072954
42111,39.981297,-79.028486
42113,41.439790,-76.511525
42115,41.819665,-75.800969
42117,41.766859,-77.257288
42119,40.962179,-77.055475
42121,41.401980,-79.754418
42123,41.843669,-79.313173
42125,40.200005,-80.252132
42127,41.646589,-75.292485
42129,40.311068,-79.466688
42131,41.525137,-76.008780
42133,39.921839,-76.728446
54001,39.139754,-79.996914
54003,39.457854,-78.032338
54005,38.022838,-81.713314
54007,38.699302,-80.731649
54009,40.272645,-80.578691
54011,38.419580,-82.243392
54013,38.844159,-81.115478
54015,38.459826,-81.081866
54017,39.263482,-80.701147
54019,38.030933,-81.086051
54021,38.915865,-80.849409
54023,39.105988,-79.195064
54025,37.924418,-80.450590
54027,39.312139,-78.611989
54029,40.516931,-80.570056
54031,39.010818,-78.843641
54033,39.279199,-80.386487
54035,38.834234,-81.677717
54037,39.307398,-77.863220
54039,38.328061,-81.523522
54041,38.988844,-80.495518
54043,38.171650,-82.077547
54045,37.830591,-81.940853
54047,37.382663,-81.658205
54049,39.505839,-80.243402
54051,39.854717,-80.671378
54053,38.759288,-82.024171
54055,37.403448,-81.106456
54057,39.405626,-78.956581
54059,37.721151,-82.158993
54061,39.633645,-80.059074
54063,37.550353,-80.547891
54065,39.554835,-78.257314
54067,38.291416,-80.797516
54069,40.098932,-80.620728
54071,38.686836,-79.333707
54073,39.368133,-81.161172
54075,38.332513,-80.012092
54077,39.469030,-79.668865
54079,38.510513,-81.906109
54081,37.762470,-81.264671
54083,38.781087,-79.867783
54085,39.177112,-81.066317
54087,38.743033,-81.354502
54089,37.656003,-80.856315
54091,39.329072,-80.045629
54093,39.111175,-79.559968
54095,39.465981,-80.879493
54097,38.902536,-80.231335
54099,38.145531,-82.419698
54101,38.492985,-80.430262
54103,39.596574,-80.634394
54105,39.020034,-81.382975
54107,39.211679,-81.515928
54109,37.603717,-81.548884
